Referencia;Modelo;PVP 00;PVP E0;PVP K0;PVP P1;PVP 30;PVP 72
18007343;WRC-W1;14922;13689;1;10;100;1000
18007345;WRC-SPW1;22770;20889;2;20;200;2000
18007348;WRC-CPW1;26367;24189;3;30;300;3000
18007500;WRC-W2;18528;16998;4;40;400;4000
18007504;WRC-SPW2;25395;23298;5;50;500;5000
18007508;WRC-CPW2;28447;26098;6;60;600;6000
18007512;WRC-W3;23081;21175;7;70;700;7000
18007516;WRC-SPW3;30929;28375;8;80;800;8000
18007524;WRC-CPW3;34526;31675;9;90;900;9000
18007520;WRC-LPW3;32346;29675;10;100;1000;10000
18007529;WRA-SPW4;43573;39975;11;110;1100;11000
18007544;WRA-CPW4;47170;43275;12;120;1200;12000
18007533;WRA-LPW4;44990;41275;13;130;1300;13000
18007541;WRA-SP2W4;46037;42235;14;140;1400;14000
CCO-120;CCO-120;14492;13255;14581;150;1500;15000
CCO-160;CCO-160;16185;14275;15703;160;1600;16000
CCO-180;CCO-180;22333;20397;22437;170;1700;17000
CCO-225;CCO-225;26387;25037;27541;180;1800;18000
CCO-270;CCO-270;32358;29320;32252;190;1900;19000
CCO-320;CCO-320;39109;34526;37979;200;2000;20000
